"id","type","label","spatially-within","url"
"vicolo-del-gallo","street","Vicolo del Gallo","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-gallo"
"vicolo-del-gigante","street","Vicolo del Gigante","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-gigante"
"vicolo-del-granaio","street","Vicolo del Granaio","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-granaio"
"vicolo-del-labirinto","street","Vicolo del Labirinto","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-labirinto"
"vicolo-del-lupanare","street","Vicolo del Lupanare","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-lupanare"
"vicolo-del-menandro","street","Vicolo del Menandro","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-menandro"
"vicolo-del-panettiere","street","Vicolo del Panettiere","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-panettiere"
"vicolo-del-scheletri","street","Vicolo del Scheletri","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-del-scheletri"
"vicolo-dell-anfiteatro","street","Vicolo dell'Anfiteatro","r2","http://p-lod.org/urn/urn:p-lod:id:vicolo-dell-anfiteatro"
"vicolo-dell-efebo","street","Vicolo dell'Efebo","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-dell-efebo"
"vicolo-della-fullonica","street","Vicolo della Fullonica","r6","http://p-lod.org/urn/urn:p-lod:id:vicolo-della-fullonica"
"vicolo-della-maschera","street","Vicolo della Maschera","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-della-maschera"
"vicolo-della-nave-europa","street","Vicolo della Nave Europa","r1","http://p-lod.org/urn/urn:p-lod:id:vicolo-della-nave-europa"
"vicolo-della-regina","street","Vicolo della Regina","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-della-regina"
"vicolo-della-venere","street","Vicolo della Venere","r2","http://p-lod.org/urn/urn:p-lod:id:vicolo-della-venere"
"vicolo-delle-nozze-d-argento","street","Vicolo delle nozze d'Argento","r5","http://p-lod.org/urn/urn:p-lod:id:vicolo-delle-nozze-d-argento"
"vicolo-delle-pareti-rosse","street","Vicolo delle Pareti rosse","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-delle-pareti-rosse"
"vicolo-delle-terme","street","Vicolo delle Terme","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-delle-terme"
"vicolo-di-balbo","street","Vicolo di Balbo","r9","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-balbo"
"vicolo-di-cecilio-giocondo","street","Vicolo di Cecilio Giocondo","r5","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-cecilio-giocondo"
"vicolo-di-championnet","street","Vicolo di championnet","r8","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-championnet"
"vicolo-di-eumachia","street","Vicolo di Eumachia","r7","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-eumachia"
"vicolo-di-giulia-felice","street","Vicolo di Giulia Felice","r2","http://p-lod.org/urn/urn:p-lod:id:vicolo-di-giulia-felice"
