"id","best-image","broader","description","type","label","manto-url","wikidata-url","url"
"bench","","furniture","","concept","Bench","","http://www.wikidata.org/entity/Q204776","https://p-lod.org/id/bench"
"berry","","fruit","","concept","Berry","","http://www.wikidata.org/entity/Q13184","https://p-lod.org/id/berry"
"bes","","egyptian_deity","","concept","Bes","","http://www.wikidata.org/entity/Q188931","https://p-lod.org/id/bes"
"betyl","","","","concept","Betyl","","http://www.wikidata.org/entity/Q664990","https://p-lod.org/id/betyl"
"bezel","","","","concept","","","","https://p-lod.org/id/bezel"
"bidder","","","","concept","","","","https://p-lod.org/id/bidder"
"bird","","animal","","concept","Bird","","http://www.wikidata.org/entity/Q5113","https://p-lod.org/id/bird"
"boar","","animal","","concept","Boar","","http://www.wikidata.org/entity/Q58697","https://p-lod.org/id/boar"
"boar's_head","","","","concept","","","","https://p-lod.org/id/boar's_head"
"boars_head","","","","concept","Boar's head","","","https://p-lod.org/id/boars_head"
"boat","","","","concept","Boat","","http://www.wikidata.org/entity/Q35872","https://p-lod.org/id/boat"
"boot","","","","concept","Boot","","http://www.wikidata.org/entity/Q190868","https://p-lod.org/id/boot"
"border","","","","concept","Border","","http://www.wikidata.org/entity/Q365980","https://p-lod.org/id/border"
"border__frame","","","","concept","","","","https://p-lod.org/id/border__frame"
"border__horizontal","","","","concept","","","","https://p-lod.org/id/border__horizontal"
"border__vertical","","","","concept","","","","https://p-lod.org/id/border__vertical"
"borea","","","","concept","","","","https://p-lod.org/id/borea"
"boss","","","","concept","Boss","","","https://p-lod.org/id/boss"
"bow","","weapon","","concept","Bow","","http://www.wikidata.org/entity/Q46311","https://p-lod.org/id/bow"
"bowl","","","","concept","Bowl","","http://www.wikidata.org/entity/Q153988","https://p-lod.org/id/bowl"
"box","","","","concept","Box","","http://www.wikidata.org/entity/Q188075","https://p-lod.org/id/box"
"boxer","","generic_human_figure","","concept","Boxer","","http://www.wikidata.org/entity/Q11338576","https://p-lod.org/id/boxer"
"braid","","","","concept","Braid","","http://www.wikidata.org/entity/Q320809","https://p-lod.org/id/braid"
"branch","","","","concept","Branch","","http://www.wikidata.org/entity/Q2923673","https://p-lod.org/id/branch"
"bread","","food","","concept","Bread","","http://www.wikidata.org/entity/Q7802","https://p-lod.org/id/bread"
"brick","","","","concept","Brick","","http://www.wikidata.org/entity/Q40089","https://p-lod.org/id/brick"
"bridge","","architecture","","concept","Bridge","","http://www.wikidata.org/entity/Q12280","https://p-lod.org/id/bridge"
"bronze","","","","concept","Bronze","","http://www.wikidata.org/entity/Q34095","https://p-lod.org/id/bronze"
"brooch","","","","concept","Brooch","","http://www.wikidata.org/entity/Q324926","https://p-lod.org/id/brooch"
"brush","","","","concept","Brush","","http://www.wikidata.org/entity/Q614467","https://p-lod.org/id/brush"
"bucket","","","","concept","","","","https://p-lod.org/id/bucket"
"bucranium","","","","concept","Bucranium","","http://www.wikidata.org/entity/Q1003461","https://p-lod.org/id/bucranium"
"building","","architecture","","concept","Building","","http://www.wikidata.org/entity/Q41176","https://p-lod.org/id/building"
"bull","","animal","","concept","Bull","","","https://p-lod.org/id/bull"
"bull_skull","","","","concept","","","","https://p-lod.org/id/bull_skull"
"bulla","","","","concept","Bulla","","","https://p-lod.org/id/bulla"
"bush","","plant","","concept","Bush","","","https://p-lod.org/id/bush"
"bust","","","","concept","Bust","","http://www.wikidata.org/entity/Q17489160","https://p-lod.org/id/bust"
"butterfly","","insect","","concept","Butterfly","","http://www.wikidata.org/entity/Q11946202","https://p-lod.org/id/butterfly"
"cabin_boat","","","","concept","Cabin boat","","http://www.wikidata.org/entity/Q1416670","https://p-lod.org/id/cabin_boat"
"caduces","","","","concept","Caduces","","","https://p-lod.org/id/caduces"
"caduceus","","","","concept","Caduceus","","","https://p-lod.org/id/caduceus"
"caesar","","","","concept","Caesar","","","https://p-lod.org/id/caesar"
"cage","","","","concept","Cage","","","https://p-lod.org/id/cage"
"callisto","","mythological_figure","","concept","Callisto","","http://www.wikidata.org/entity/Q203673","https://p-lod.org/id/callisto"
"calyces","","","","concept","Calyces","","http://www.wikidata.org/entity/Q2933965","https://p-lod.org/id/calyces"
"camillus","","generic_human_figure","","concept","Camillus","","http://www.wikidata.org/entity/Q3651435","https://p-lod.org/id/camillus"
"candelabra","","","","concept","Candelabra","","http://www.wikidata.org/entity/Q548275","https://p-lod.org/id/candelabra"
"cane","","","","concept","Cane","","","https://p-lod.org/id/cane"
"cap","","","","concept","Cap","","","https://p-lod.org/id/cap"
"capital","","architecture","","concept","Capital","","http://www.wikidata.org/entity/Q5119","https://p-lod.org/id/capital"
"caricature_(exaggerated)","","","","concept","","","","https://p-lod.org/id/caricature_(exaggerated)"
"carpet","","","","concept","Carpet","","http://www.wikidata.org/entity/Q163446","https://p-lod.org/id/carpet"
"carpet___embroidery_border","","","","concept","","","","https://p-lod.org/id/carpet___embroidery_border"
"carpet___embroidery_border_frame","","","","concept","","","","https://p-lod.org/id/carpet___embroidery_border_frame"
"carpet___embroidery_border_horizontal","","","","concept","","","","https://p-lod.org/id/carpet___embroidery_border_horizontal"
"carpet___embroidery_border_vertical","","","","concept","","","","https://p-lod.org/id/carpet___embroidery_border_vertical"
"carpet___embroidery_frame","","","","concept","","","","https://p-lod.org/id/carpet___embroidery_frame"
"cart","","","","concept","Cart","","http://www.wikidata.org/entity/Q234668","https://p-lod.org/id/cart"
"cartoon","","","","concept","","","","https://p-lod.org/id/cartoon"
"caryatid","","","","concept","Caryatid","","http://www.wikidata.org/entity/Q208120","https://p-lod.org/id/caryatid"
"casket","","","","concept","","","","https://p-lod.org/id/casket"
"cassandra","","mythological_figure","","concept","Cassandra","","http://www.wikidata.org/entity/Q170779","https://p-lod.org/id/cassandra"
"cassiopeia","","mythological_figure","","concept","Cassiopeia","","http://www.wikidata.org/entity/Q207681","https://p-lod.org/id/cassiopeia"
"castle","","","","concept","","","","https://p-lod.org/id/castle"
"cat's_head","","","","concept","","","","https://p-lod.org/id/cat's_head"
